nome,cpf,idade,data,endereco,bairro,estado
Sr. Vitor Gabriel Silva,640.***.***-01,,,"trevo emanuel silva, 482",vila tirol,AP
Calebe Santos,651.***.***-46,,,"recanto moraes, 7",ernesto nascimento,PB
Maria Julia Castro,164.***.***-43,,,"residencial de pereira, 20",jatobá,AL
Arthur Da Rosa,085.***.***-30,,,"parque almeida, 66",vila suzana segunda seção,SE
Juan Pereira,520.***.***-21,,,"rodovia de pereira, 51",estrela,BA
Dra. Ana Laura Ribeiro,210.***.***-20,,,esplanada lavínia ramos,são francisco,SP
Maria Clara Araújo,960.***.***-80,,,"praça cavalcanti, 65",conjunto celso machado,RO
Vitória Oliveira,302.***.***-83,,,"esplanada monteiro, 88",conjunto paulo vi,GO
Benjamin Oliveira,451.***.***-84,,,"ladeira monteiro, 57",vila primeiro de maio,CE
Pietro Barros,843.***.***-50,,,"recanto luiz miguel jesus, 35",vila aeroporto jaraguá,PB
Samuel Cavalcanti,520.***.***-01,,,"ladeira de porto, 38",nova america,TO
Ian Da Costa,384.***.***-78,,,"via de jesus, 57",vila da amizade,PB
Dr. Emanuel Costa,736.***.***-19,,,"lago castro, 94",mariano de abreu,RJ
Larissa Da Cruz,128.***.***-60,,,"setor isadora da rosa, 583",chácara leonina,RR
Diogo Carvalho,078.***.***-97,,,"viaduto pedro lucas cavalcanti, 49",tiradentes,RS
Sr. Anthony Almeida,305.***.***-60,,,"rua vitor hugo pinto, 21",anchieta,RJ
Clara Martins,397.***.***-86,,,"rodovia aragão, 245",conjunto lagoa,MG
Dr. Luiz Felipe Cardoso,374.***.***-20,,,"alameda de lima, 65",boa esperança,PE
Sr. Calebe Lopes,135.***.***-77,,,"trecho lucas sales, 24",dom bosco,RO
Miguel Monteiro,097.***.***-41,,,"passarela igor novaes, 89",pompéia,SE
Srta. Catarina Da Mata,468.***.***-57,,,"sítio luna carvalho, 98",novo santa cecilia,AM
João Gabriel Araújo,625.***.***-25,,,"esplanada de castro, 4",vila nova cachoeirinha 1ª seção,MT
Sr. Nicolas Azevedo,036.***.***-33,,,"estrada de aragão, 1",vila barragem santa lúcia,AC
Kamilly Caldeira,508.***.***-47,,,via gabriela nascimento,madre gertrudes,AP
Renan Araújo,186.***.***-57,,,"travessa vinicius da mata, 52",alta tensão 1ª seção,CE
Vicente Nascimento,054.***.***-32,,,largo vieira,milionario,DF
Isaac Rocha,873.***.***-69,,,"área lucas gabriel silveira, 51",anchieta,PE
Julia Das Neves,819.***.***-05,,,"jardim isabelly gomes, 23",nossa senhora de fátima,ES
Breno Rodrigues,196.***.***-34,,,distrito de silveira,dona clara,AM
Isabel Nogueira,968.***.***-65,,,travessa ana júlia da rocha,miramar,TO
Anthony Araújo,208.***.***-26,,,"avenida milena pires, 360",vila rica,AP
Sra. Marina Da Cunha,067.***.***-95,,,"rodovia marcelo souza, 25",estrela,RN
Helena Cardoso,853.***.***-39,,,"pátio alexandre teixeira, 243",indaiá,RR
Luigi Nunes,593.***.***-24,,,"via clara da rosa, 928",castelo,RR
Srta. Raquel Da Costa,278.***.***-09,,,"estação ribeiro, 46",venda nova,PB
Sra. Ana Vitória Oliveira,120.***.***-17,,,"sítio de cavalcanti, 97",juliana,PA
Luiza Campos,974.***.***-03,,,"condomínio de rodrigues, 52",conjunto providencia,SC
Lucca Da Paz,526.***.***-95,,,"rodovia vieira, 63",conjunto taquaril,RN
Nathan Da Rosa,907.***.***-25,,,"recanto de da conceição, 1",paraíso,AM
Lívia Silveira,804.***.***-85,,,"setor de azevedo, 375",castanheira,AL
Isabel Cavalcanti,492.***.***-04,,,"ladeira pietra cunha, 13",vista alegre,PA
Rafael Nunes,285.***.***-76,,,"vereda davi lucca barbosa, 35",estrela do oriente,GO
Elisa Fogaça,572.***.***-92,,,"rodovia ana júlia araújo, 68",vila real 2ª seção,PE
Agatha Ramos,948.***.***-85,,,"distrito de barros, 41",suzana,RJ
Kamilly Rocha,946.***.***-48,,,"feira campos, 17",cruzeiro,DF
Antônio Das Neves,435.***.***-82,,,"avenida vitor hugo cardoso, 34",vila são rafael,SC
Luiz Gustavo Alves,198.***.***-10,,,"rodovia de souza, 63",vila nova dos milionarios,MS
Emanuella Fernandes,097.***.***-96,,,"residencial ian da paz, 6",padre eustáquio,PR
Srta. Ana Beatriz Farias,431.***.***-39,,,"ladeira de da paz, 98",jardim dos comerciarios,PE
Yago Monteiro,865.***.***-00,,,"ladeira pereira, 21",buraco quente,BA
Yasmin Gonçalves,017.***.***-14,,,"área barros, 46",salgado filho,BA
Bruna Nascimento,132.***.***-52,,,"vereda luiz felipe costa, 70",minaslandia,DF
Davi Luiz Nogueira,873.***.***-50,,,"vila sales, 97",paquetá,ES
Ian Monteiro,324.***.***-91,,,"favela alana ribeiro, 318",casa branca,MS
Srta. Helena Silva,905.***.***-01,,,"parque freitas, 82",ouro minas,AC
Bárbara Novaes,038.***.***-15,,,"trecho bryan da cunha, 1",betânia,PA
Sr. Pedro Lucas Costela,534.***.***-00,,,esplanada moreira,pindura saia,ES
Rafael Jesus,673.***.***-80,,,"campo de barros, 16",silveira,DF
Sra. Alícia Caldeira,051.***.***-70,,,"distrito esther campos, 264",apolonia,PA
Danilo Martins,760.***.***-39,,,"largo pires, 78",bacurau,AP
Sr. Gabriel Da Rosa,530.***.***-53,,,campo isabelly freitas,novo santa cecilia,CE
Augusto Teixeira,412.***.***-16,,,favela maria novaes,savassi,RR
Ana Julia Da Rosa,630.***.***-65,,,"trevo moraes, 5",cônego pinheiro 1ª seção,SP
Lucca Barbosa,836.***.***-77,,,"rua mendes, 337",penha,SP
Amanda Da Costa,268.***.***-29,,,"lagoa cardoso, 1",ambrosina,SP
Dr. Francisco Cardoso,430.***.***-50,,,"lago maitê campos, 31",braúnas,TO
Lorena Farias,268.***.***-82,,,"residencial barbosa, 44",zilah sposito,AP
Anthony Da Costa,935.***.***-97,,,"recanto de rocha, 68",conjunto califórnia i,SE
Cauã Rodrigues,107.***.***-87,,,"vale gustavo henrique alves, 50",vila madre gertrudes 4ª seção,AL
Anthony Barbosa,631.***.***-00,,,vila farias,vila satélite,RN
Ana Julia Almeida,179.***.***-09,,,"fazenda de porto, 3",senhor dos passos,MA
Milena Barros,314.***.***-51,,,"setor miguel pires, 3",ermelinda,PA
Murilo Gomes,759.***.***-93,,,morro de castro,vila pilar,SP
Daniel Barbosa,812.***.***-98,,,"praça ferreira, 764",vila sumaré,CE
Dr. Samuel Cardoso,039.***.***-96,,,"vereda cauê novaes, 14",conjunto califórnia ii,BA
Ana Laura Sales,863.***.***-22,,,"fazenda de pinto, 42",são jorge 1ª seção,PR
Mariana Cunha,492.***.***-25,,,"loteamento luiz felipe teixeira, 87",novo ouro preto,AM
Sr. João Guilherme Cavalcanti,347.***.***-70,,,"quadra emanuella da conceição, 29",cruzeiro,MS
Kamilly Rocha,365.***.***-10,,,"rodovia danilo costa, 17",alta tensão 2ª seção,MS
Gabriel Nunes,940.***.***-04,,,vila stephany lima,vista do sol,PA
Rafael Correia,579.***.***-05,,,"morro de cardoso, 47",marçola,SE
Ana Lívia Barbosa,925.***.***-60,,,lagoa sarah azevedo,monsenhor messias,CE
Maitê Teixeira,694.***.***-39,,,"loteamento oliveira, 29",camponesa 1ª seção,PE
Carlos Eduardo Santos,937.***.***-37,,,"largo nascimento, 97",delta,PR
Enzo Gabriel Araújo,349.***.***-96,,,Endereço inválido,Desconhecido,Desconhecido
Breno Moreira,184.***.***-49,,,"aeroporto de das neves, 7",vila sumaré,AL
Julia Lopes,106.***.***-31,,,"conjunto de cardoso, 5",vila minaslandia,PR
André Lima,645.***.***-70,,,viaduto cardoso,belmonte,RO
João Gabriel Barbosa,190.***.***-67,,,fazenda de barros,boa esperança,DF
,438.***.***-56,,,colônia maria vitória moura,aarão reis,GO
João Felipe Oliveira,830.***.***-00,,,avenida de cardoso,madre gertrudes,RN
Samuel Vieira,218.***.***-53,,,"lagoa leandro caldeira, 1",chácara leonina,MT
Lucca Ferreira,237.***.***-19,,,"esplanada de das neves, 5",andiroba,MG
Samuel Castro,582.***.***-70,,,"praia eloah da mata, 95",cachoeirinha,AL
Maria Vitória Teixeira,426.***.***-25,,,"praia carvalho, 7",vila nova,PA
Maria Fernanda Farias,907.***.***-20,,,"área de correia, 44",chácara leonina,AM
Fernanda Sales,879.***.***-32,,,"vale lorenzo almeida, 80",vila mantiqueira,PE
Srta. Eduarda Nogueira,602.***.***-07,,,chácara isadora das neves,vila da amizade,PB
Maitê Ferreira,016.***.***-99,,,estação cunha,calafate,PR
Catarina Pires,079.***.***-11,,,"loteamento de lima, 1",vila primeiro de maio,MT
Manuela Da Rocha,839.***.***-57,,,"alameda de gonçalves, 79",saudade,SP
Nina Moura,604.***.***-25,,,"quadra bernardo ferreira, 85",marieta 1ª seção,PA
Pedro Henrique Vieira,526.***.***-03,,,"rodovia alícia dias, 58",vila boa vista,RR
Ana Clara Cunha,862.***.***-02,,,"rua de cavalcanti, 8",vila da paz,AC
Pietra Santos,508.***.***-67,,,"esplanada de silva, 1",vila puc,GO
Sr. Theo Da Conceição,284.***.***-14,,,"viaduto de freitas, 12",centro,RR
Vinicius Da Costa,023.***.***-16,,,"recanto valentina pinto, 52",satelite,PA
Pedro Henrique Cunha,519.***.***-93,,,"passarela de santos, 501",vila atila de paiva,ES
Davi Nogueira,564.***.***-11,,,"morro lucca da rocha, 40",bandeirantes,CE
Luiz Fernando Da Paz,409.***.***-11,,,"praça de da paz, 5",conjunto jardim filadélfia,TO
Srta. Letícia Rocha,137.***.***-32,,,"fazenda joão felipe souza, 78",nova pampulha,SC
João Nogueira,367.***.***-10,,,"rodovia cauê monteiro, 50",heliopolis,CE
João Gabriel Cardoso,962.***.***-34,,,"área de ferreira, 20",vila independencia 2ª seção,AC
